01,100,0.0125,l,-73.3324188540,-70.3014715300,-71.8169451920,3.0309473240,0.922593141789,0.00134765519521
02,100,0.0125,r,-66.5948363191,-68.8128047861,-67.7038205526,2.2179684669,0.515405790692,0.00076320924407
03,100,0.0500,l,-75.2408545955,-85.3624515377,-80.3016530666,10.1215969423,0.590700735953,5.85957989591e-05
04,100,0.0500,r,-73.1914669247,-74.1234994071,-73.6574831659,0.9320324823,0.244821878658,3.86904447349e-05
05,100,0.2000,l,-67.5701026956,-69.3292085282,-68.4496556119,1.7591058325,0.104455101748,0.000138044769949
06,100,0.2000,r,-66.4052574649,-66.7319584260,-66.5686079455,0.3267009610,0.110360840443,9.24447281028e-05
07,250,0.0125,l,-70.4483466336,-65.2726354324,-67.8604910330,5.1757112012,0.383412559687,0.00035672377887
08,250,0.0125,r,-62.5516111982,-82.6452106103,-72.5984109043,20.0935994121,2.80748307194,0.000297888332041
09,250,0.0500,l,-75.1043910862,-67.0474367072,-71.0759138967,8.0569543790,0.617199351723,0.000334152212096
10,250,0.0500,r,-62.0195589707,-61.4552416939,-61.7374003323,0.5643172768,0.0268344040009,0.000303290996548
11,250,0.2000,l,-67.0607473105,-62.1633742691,-64.6120607898,4.8973730415,0.0357243923576,0.000280173034253
12,250,0.2000,r,-58.5353737159,-55.1313244768,-56.8333490963,3.4040492391,0.00948423674812,0.000289886462882
13,315,0.0125,l,-63.4460992803,-77.7975538235,-70.6218265519,14.3514545432,0.612019525423,0.00222477197697
14,315,0.0125,r,-76.7179942665,-69.0479508854,-72.8829725759,7.6700433811,0.545286070143,0.00218447581179
15,315,0.0500,l,-70.3685666790,-72.1308695338,-71.2497181064,1.7623028548,0.0821574724839,0.00228635524178
16,315,0.0500,r,-52.9168446207,-57.8891724183,-55.4030085195,4.9723277977,0.0151897928873,0.00223941194294
17,315,0.2000,l,-58.2517326742,-58.2866623755,-58.2691975249,0.0349297013,0.0232543059001,0.00244213946537
18,315,0.2000,r,-57.6061943423,-51.3612999772,-54.4837471597,6.2448943651,0.0186526424788,0.0024816769438
19,500,0.0125,l,-72.8144803306,-81.2216306634,-77.0180554970,8.4071503329,0.537474320508,0.000371365923508
20,500,0.0125,r,-80.9696622764,-81.0603806654,-81.0150214709,0.0907183889,0.473506147778,0.000161471324847
21,500,0.0500,l,-72.9964431542,-71.9552634440,-72.4758532991,1.0411797102,0.0670200114318,5.10483135873e-05
22,500,0.0500,r,-67.3165688850,-67.5815997180,-67.4490843015,0.2650308330,0.0490589111284,5.32718684432e-05
23,500,0.2000,l,-56.4335864622,-56.2784797785,-56.3560331203,0.1551066838,0.0121421336145,4.43111645952e-05
24,500,0.2000,r,-57.6744503536,-57.6359470595,-57.6551987066,0.0385032941,0.00811979643356,4.75320183907e-05
25,630,0.0125,l,-87.8593588513,-78.7843999861,-83.3218794187,9.0749588652,0.417313774116,0.000646924540388
26,630,0.0125,r,-87.5075873358,-86.9105721945,-87.2090797651,0.5970151413,0.490392147745,0.00027507317905
27,630,0.0500,l,-73.4444068274,-74.1239717347,-73.7841892810,0.6795649073,0.0296396106014,8.9133170839e-05
28,630,0.0500,r,-64.0641751343,-64.4499864082,-64.2570807713,0.3858112738,0.00612046056595,4.81202079705e-05
29,630,0.2000,l,-57.6894231089,-57.6288467785,-57.6591349437,0.0605763304,0.0199593956707,3.87772473828e-05
30,630,0.2000,r,-55.3862168117,-55.3679125812,-55.3770646964,0.0183042305,0.0135978166604,5.96547005779e-05
31,1000,0.0125,l,-83.5467250141,-97.9781534506,-90.7624392324,14.4314284366,1.84824812736,0.000182870523389
32,1000,0.0125,r,-95.6111580379,-91.6504531731,-93.6308056055,3.9607048648,1.24567188181,7.64968895105e-05
33,1000,0.0500,l,-70.6916348114,-71.0780386049,-70.8848367082,0.3864037935,0.024107994465,4.72417779047e-05
